sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
2123.8,0.8349514563106796,0.5,0.5813953488372093,0,6,1,5,12
2185.9,0.8411214953271028,0.4166666666666667,0.5909090909090909,0,5,1,6,12
2248.0,0.8454545454545455,0.4166666666666667,0.6,0,5,1,6,12
2310.1,0.8482142857142857,0.5,0.6086956521739131,0,6,0,6,12
2372.2,0.8508771929824561,0.5,0.6170212765957447,0,6,0,6,12
2434.3,0.853448275862069,0.5,0.625,0,6,0,6,12
2496.4,0.8547008547008547,0.5833333333333334,0.6326530612244898,0,7,0,5,12
2558.6,0.8559322033898306,0.5833333333333334,0.6470588235294118,0,7,0,5,12
2620.7,0.860655737704918,0.5833333333333334,0.6538461538461539,0,7,0,5,12
2682.8,0.864,0.5833333333333334,0.660377358490566,0,7,0,5,12
2744.9,0.8671875,0.5833333333333334,0.6666666666666666,0,7,0,5,12
2807.0,0.8692307692307693,0.5833333333333334,0.6727272727272727,0,7,0,5,12
2869.1,0.8721804511278195,0.5833333333333334,0.6785714285714286,0,7,0,5,12
2931.2,0.8731343283582089,0.5833333333333334,0.6842105263157895,0,7,0,5,12
2993.3,0.8759124087591241,0.6666666666666666,0.6896551724137931,0,8,0,4,12
3055.4,0.8759124087591241,0.6666666666666666,0.6949152542372882,0,8,0,4,12
3117.5,0.8759124087591241,0.5833333333333334,0.7,0,7,0,5,12
3179.6,0.8759124087591241,0.5833333333333334,0.7049180327868853,0,7,0,5,12
3241.7,0.8759124087591241,0.5833333333333334,0.7096774193548387,0,7,0,5,12
3303.8,0.8759124087591241,0.5833333333333334,0.7142857142857143,0,7,0,5,12
3365.9,0.8759124087591241,0.5833333333333334,0.71875,0,7,0,5,12
3428.0,0.8759124087591241,0.5833333333333334,0.7230769230769231,0,7,0,5,12
3490.1,0.8759124087591241,0.5833333333333334,0.7272727272727273,0,7,0,5,12
3552.2,0.8759124087591241,0.6666666666666666,0.7313432835820896,0,8,0,4,12
3614.3,0.8759124087591241,0.6666666666666666,0.7352941176470589,0,8,0,4,12
3676.4,0.8759124087591241,0.6666666666666666,0.7391304347826086,0,8,0,4,12
3738.5,0.8759124087591241,0.6666666666666666,0.7428571428571429,0,8,0,4,12
3800.6,0.8759124087591241,0.6666666666666666,0.7464788732394366,0,8,0,4,12
3862.7,0.8759124087591241,0.6666666666666666,0.75,0,8,0,4,12
3924.8,0.8759124087591241,0.6666666666666666,0.7534246575342466,0,8,0,4,12
3986.9,0.8759124087591241,0.6666666666666666,0.7567567567567568,0,8,0,4,12
4049.0,0.8759124087591241,0.6666666666666666,0.76,0,8,0,4,12
4111.1,0.8759124087591241,0.6666666666666666,0.7631578947368421,0,8,0,4,12
4173.2,0.8759124087591241,0.6666666666666666,0.7662337662337663,0,8,0,4,12
4235.3,0.8759124087591241,0.6666666666666666,0.7692307692307693,0,8,0,4,12
4297.4,0.8759124087591241,0.6666666666666666,0.7721518987341772,0,8,0,4,12
4359.5,0.8759124087591241,0.75,0.775,0,9,0,3,12
4421.6,0.8759124087591241,0.75,0.7777777777777778,0,9,0,3,12
4483.7,0.8759124087591241,0.75,0.7804878048780488,0,9,0,3,12
4545.8,0.8759124087591241,0.75,0.7831325301204819,0,9,0,3,12
4607.9,0.8759124087591241,0.75,0.7857142857142857,0,9,0,3,12
4670.0,0.8759124087591241,0.75,0.788235294117647,0,9,0,3,12
4732.1,0.8759124087591241,0.75,0.7906976744186046,0,9,0,3,12
4794.2,0.8759124087591241,0.75,0.7931034482758621,0,9,0,3,12
4856.3,0.8759124087591241,0.6666666666666666,0.7954545454545454,0,8,0,4,12
4918.4,0.8759124087591241,0.75,0.797752808988764,0,9,0,3,12
4980.5,0.8759124087591241,0.75,0.8,0,9,0,3,12
5042.6,0.8759124087591241,0.75,0.8021978021978022,0,9,0,3,12
5104.7,0.8759124087591241,0.75,0.8043478260869565,0,9,0,3,12
5166.8,0.8759124087591241,0.75,0.8064516129032258,0,9,0,3,12
5228.9,0.8759124087591241,0.75,0.8085106382978723,0,9,0,3,12
5291.0,0.8759124087591241,0.75,0.8105263157894737,0,9,0,3,12
5353.1,0.8759124087591241,0.8333333333333334,0.8125,0,10,0,2,12
5415.2,0.8759124087591241,0.8333333333333334,0.8144329896907216,0,10,0,2,12
5477.3,0.8759124087591241,0.8333333333333334,0.8163265306122449,0,10,0,2,12
5539.4,0.8759124087591241,0.8333333333333334,0.8181818181818182,0,10,0,2,12
5601.5,0.8759124087591241,0.8333333333333334,0.82,0,10,0,2,12
5663.6,0.8759124087591241,0.8333333333333334,0.8217821782178217,0,10,0,2,12
5725.7,0.8759124087591241,0.8333333333333334,0.8235294117647058,0,10,0,2,12
5787.8,0.8759124087591241,0.8333333333333334,0.8252427184466019,0,10,0,2,12
5849.9,0.8759124087591241,0.75,0.8269230769230769,0,9,0,3,12
5912.0,0.8759124087591241,0.75,0.8285714285714286,0,9,0,3,12
5974.1,0.8759124087591241,0.8333333333333334,0.8301886792452831,0,10,0,2,12
6036.2,0.8759124087591241,0.8333333333333334,0.8317757009345794,0,10,0,2,12
6098.3,0.8759124087591241,0.8333333333333334,0.8333333333333334,0,10,0,2,12
6160.4,0.8759124087591241,0.8333333333333334,0.8348623853211009,0,10,0,2,12
6222.5,0.8759124087591241,0.8333333333333334,0.8363636363636363,0,10,0,2,12
6284.6,0.8759124087591241,0.8333333333333334,0.8392857142857143,0,10,0,2,12
6346.7,0.8759124087591241,0.8333333333333334,0.8407079646017699,0,10,0,2,12
6408.8,0.8759124087591241,0.8333333333333334,0.8421052631578947,0,10,0,2,12
6470.9,0.8759124087591241,0.9166666666666666,0.8434782608695652,0,11,0,1,12
6533.0,0.8759124087591241,0.9166666666666666,0.8448275862068966,0,11,0,1,12
6595.1,0.8759124087591241,0.9166666666666666,0.8461538461538461,0,11,0,1,12
6657.2,0.8759124087591241,0.9166666666666666,0.847457627118644,0,11,0,1,12
6719.3,0.8759124087591241,0.9166666666666666,0.8487394957983193,0,11,0,1,12
6781.4,0.8759124087591241,0.9166666666666666,0.85,0,11,0,1,12
6843.5,0.8759124087591241,0.9166666666666666,0.8512396694214877,0,11,0,1,12
6905.6,0.8759124087591241,0.9166666666666666,0.8524590163934426,0,11,0,1,12
6967.7,0.8759124087591241,0.9166666666666666,0.8536585365853658,0,11,0,1,12
7029.8,0.8759124087591241,0.9166666666666666,0.8548387096774194,0,11,0,1,12
7091.9,0.8759124087591241,0.9166666666666666,0.856,0,11,0,1,12
7154.0,0.8759124087591241,0.9166666666666666,0.8571428571428571,0,11,0,1,12
